id,labels.uz.value,labels.bs.value,labels.is.value,labels.sq.value,labels.tg.value,labels.mn.value,labels.zh-tw.value,labels.hi.value,labels.te.value,labels.gu.value,labels.ka.value,labels.kk.value,labels.lv.value,labels.bn.value,labels.kn.value,labels.et.value,labels.sl.value,labels.az.value,labels.ta.value
Q731256,Xovd,Hovd,Howd,Kvod,Ховд,,科布多省,,ఖోవ్డి,ખોવ્દ,,,Hovda,খভদ্,ಖೋವ್ಡ್ ,Hovd,Hovd,Xovd,கோஃப்ட
Q34692,Kingston,,,,Кингстаун,Кингстон,京士頓,किंग्स्टन,కింగ్స్టన్,કિંગ્સટન,,Кингстон,,,ಕಿಂಗ್‌ಸ್ಟನ್,,,,"கிங்க்ஸ்டன், ஜமைக்கா"
Q202973,Kingston,Kingston,,,Кингстаун,Кингстон,京士頓,किंग्स्टन,కింగ్స్టన్,કિંગ્સટન,კინგსტონი,Кингстон,Kingstona,কিংস্টন,ಕಿಂಗ್‌ಸ್ಟನ್,,,Kinqston,"கிங்க்ஸ்டன், ஓன்டேரியோ"
Q3838,,,,Kinsasha,,Киншаса,金夏沙,किंशासा,కిన్షాసా,કિન્શાસા,,,,,ಕಶ್ಯಾಸಾ,,,,கின்ஷாஸா
Q710,,,,,Кирибатӣ,,,,,કિરીબાટી,,,,কিরিবতি,,,,,
Q1348,,,,,Калкута,,,,కోల్ కతా,,,,,,,,,,கோல்கதா
Q919,,,Krasnojarsk,Krasnojarsk,,,克拉斯諾亞爾斯克,क्रास्नोयार्स्क,క్రాస్నాయాస్క్,ક્રાસ્નોયાર્સ્ક,,Красноярск,,ক্রাসনোইয়ার্সক,ಕ್ರಾಸ್ನೋಯಾರ್ಸ್ಕ್,,,,க்ரஸ்னயர்ஸ்க்
Q1865,,,Kúala Lúmpur,,,,,,కువాలా లంపూర్,કુઆલા લંપુર,,,Kualalumpura,,,,,Kuala-Lumpur,க்வாலா லும்பூர்
Q220445,,Kuching,,Kuçing,Кучинг,Кучин,,,కూచింగ్,કૂચીંગ,კუჩინი,Кучинг,Kučinga,কুচিং,ಕುಚಿಂಗ್ ,,,Kuçinq,குசிங்
Q182852,Kunming,Kunming,Kunming,Kunming,Кунмин,,昆明市,,కున్మింగ్,કુન્મિંગ,,Куньмин,,,ಕುನ್‌ಮಿಂಗ್‌,,,Kunminq,குன்மிங்
Q817,,,,,,,科威特,,,,,,,,,,,,குவேட்
Q1899,,,,,,,,,కియవ్,ક્યીવ,,,,,,,,,
Q1491,La Pas,,,,Ла Пас,Ла-Пас,,ला पाज़,,લા પાઝ,,,,,ಲಾ ಪಾಝ್,,,La-Pas,லா பாஸ்
Q8673,,,,,,Лагос,拉哥斯,,,લેગોસ,,,,লাগোস,ಲೆಗೊಸ್,,,,லேகோஸ்
Q23768,Las Vegas,,,,Лас Вегас,Лас Вегас,拉斯維加斯,लास वेगास,లాస్ వేగాస్,લાસ વેગાસ,,,,,ಲಾಸ್ ವೇಗಸ್,,,,லாஸ் வேகஸ்
Q2868,,,,,Лима,Лима,利馬,,లీమా,લીમા,,,,,ಲಿಮಾ,,,,லீமா
Q597,,,,,,,里斯本,,,લિસ્બન,,,,,ಲಿ‍ಸ್ಬನ್,,,,
Q437,,,,,,,,लुब्लियाना,,લ્યુબ્લિયના,,,,,ಲುಬ್ಲಿಯಾನಾ,,,,ல்யூப்லீயானா
Q84,,,,,,,,,,,,,,,,,,,லன்டன்
Q65,,,,Los Anxhelos,,,,लॉस एंजिलिस,లాస్ ఏంజిలస్,લોસ એન્જલસ,,Лос-Анджелес,,লসএঞ্জেলস্,ಲಾಸ್ ಎಂಜಲೀಸ್,,,Los-Anceles,லாஸ் ஏன்ஜெலெஸ்
Q43668,Luisvill,Louisville,Louisville,Luisvill,Луисвилл,Луисвилл,路易維爾,लुईविल,లూయీవిల్,લુઇસવિલ,,,,লুইজভিল,ಲೂಯಿಸ್​ವಿಲ್ಲೆ,,,,
Q3897,,,,,,Луанда,羅安達,,లువాండా,લુઆન્ડા,,Луанда,,,ಲುವಾಂಡ,,,,லுஎண்டா
Q187593,,Lubumbashi,Lumbumbashi,Lubumbashi,Лубумбаши,Лубумбаши,,लुबुम्बाशी,లుబుంబాషి,લુબુમબાશી,ლუბუმბაში,Лубумбаши,,লুবুমবাসি,ಲುಬುಂಬಾಷಿ,,Lubumbashi,Lubumbaşi,லுபூம்பாஷி
Q3881,,,,Lusaka,,,路沙卡,,లుసాకా,લુસાકા,,Лусака,,,ಲುಸಾಕಾ,,,,லுஸாகா
Q32,Lyuksemburg,,,,,,,,లక్సెంబర్గ్,લક્ઝમબર્ગ,,,,লাক্সেমবার্গ,,,,,லக்ஸம்பர்க்
Q36036,,,,Lviv,Лвив,,利維夫,लुव्यूव,లివ్యూ,લ્વિવ,,,,লবিব,ಲವಿವ್,,,,லிவ்யூ
Q14773,,,,Makau,Макао,,,मकाऊ,,,,,,ম্যাকাও,,Macau,,,மகௌ
Q2807,,,,,,,,मैड्रिड,మాడ్రిడ్,મેડ્રિડ,,,,,ಮ್ಯಾಡ್ರಿಡ್,,,,மட்ரிட்
Q7968,,Magadan,Magadan,Magadan,,Магадан,馬加丹,मैगाडन,మాగదన్,મગાડેન,მაგადანი,Магадан,,মাগাদান,ಮಗಡಾನ್,,,,மகடான்
Q14634,Makasar,Makassar,Makassar,Makasar,Макасар,Макассар,望加錫,मकासर,మకాసర్,મકાસ્સર,მაკასარი,Макасар,Makasara,মাকাসার,ಮಕಾಸ್ಸರ್,,Makasar,Makasar,மகாஸர்
Q5806,,,,,,,麥加,,,,,,,,,,,,
Q3818,,,,,,Малабо,馬拉博,मलाबो,మలాబో,માલાબો,,Малабо,,মালাবু,ಮಲಾಬೋ,,,,
Q9347,,,Mélník,Male,,,馬利,,,માલે,,,,,,,Male,,
Q3274,,,,,Манагуа,,,मानागुआ,మనాగువా,માનાગુઆ,,Манагуа,,মানাগুয়া,ಮನಾಗುವಾ,,,,மனாக்வா
Q3882,,,,,,,馬拿瓜,मनामा,మనామా,મનામા,,,,,ಮನಾಮ,Manama,Manama,,
Q1461,,,,,,,麥納瑪,,,મનિલા,,,,,,,,,மனிலா
Q3889,,,,,,Мапуто,馬布多,मपूटो,మాపూటో,મૈપુટો,,Мапуту,,মাপুটো,ಮಪುಟೋ,,,,மபூடோ
Q200605,Marigo,,,Marigot,Мариго,Маригот,馬里戈,मेरीगौट,మారిగాట్,મેરીગોટ,,Мариго,Marigo,মারিগট,ಮಾರಿಗೋಟ್,,Marigot,,
Q17063,Mayotta,,,,Майотта,Майотте,馬約特,,మయాటి,મેયોટ,,,,মায়োত্তি,ಮಯೊಟ್ಟೆ,,,,மெயோட்
Q40194,Masatlan,Mazatlan,Mazatlan,Mazatlan,Масатлан,Мазатлан,馬薩特蘭,माज़त्लान,మాజట్లాన్,માઝાટ્લાન,,Масатлан,Masatlana,মাজাত্লান,ಮಜಾಟ್ಲಾನ್,Mazatlan,Mazatlan,Masatlan,மஜெட்லன்
Q3141,,,,,Мелбурн,,墨爾本,,,,,,,,,,,,மெல்பர்ன்
Q16563,Memfis,,,Memfis,Мемфис,,曼非斯,मेम्फ़िस,మెంఫిస్,મેમ્ફિસ,,,,মেমফিস,ಮೆಂಫಿಸ್,,Memphis,,மெம்ஃபிஸ்
Q16208,,Mesina,Messina,Mesina,Мессина,Мессина,墨西拿,मेसिना,మెసీనా,મેસિના,მესინა,Мессина,Mesīna,মেজিনা,ಮೆಸ್ಸಿನಾ,Messina,,Messina,மெஸீனா
Q1489,,,Mexíkó Borg,Meksika,Шаҳри Мексика,Мехико Хот,墨西哥城,मैक्सिको शहर,మెక్సికో నగరం,મેક્સિકો સિટી,,,,,ಮೆಕ್ಸಿಕೋ ನಗರ,,Ciudad de Mexico,,மெக்ஸிகோ ஸிடி
Q8652,Mayami,,,Majami,Майами,Майами,邁阿密,,,મિયામી,,,,,ಮಿಯಾಮಿ ,,,,
Q2619599,Miduey,Midway,Midway,Miduej,Мидуэй,Мидвей,米德尔敦,मिडवे,మిడ్వే,મિડવે,მიდუეი,,Midveja,মিডওয়ে,ಮಿಡ್‌ವೇ,Midway,Midway,Midvey,"மிட்வே, கென்டுகி"
Q490,,,,,,,,मिलान,,,,,,,ಮಿ‍ಲಾನ್‌,,,,
Q37836,Miluoki,,,Miluaki,Милуоки,Милуоки,密爾瓦基,मिल्वाउकी,,મિલવૌકી,,Милуоки,,,,,,,
Q2280,,,,,,,,,,મિન્સ્ક,,,,মিনস্ক,,,,,
Q2449,,,,,,Могадишу,摩加迪休,मोगादिशु,,મોગદિશુ,,Могадишо,,মোগাদিসু,ಮೊಗಡಿಶು ,,,,மொகாடிஷு
Q3748,,,,,,Монрови,蒙羅維亞,मोनरोविया,మన్రోవియా,મોનરોવિઆ,,,,মোনরোভিয়া,ಮೊನ್ರೋವಿಯಾ,,,,மன்ரோவியா
Q1335,,,,Montevideo,Монтевидео,Монтевидео,蒙特維多,,,મોન્ટેવીડિયો,,,,মন্টেভিডিও,ಮಾಂಟೇವಿಡಿಯೋ,,,,மோன்டவிதேயோ
Q340,Monreal,,,,,Монреал,蒙特婁,मॉन्ट्रियाल,,મોન્ટ્રીયલ,,,,মন্ট্রিয়াল,ಮಾಂಟ್ರಿಯಲ್,,Montreal,,மோன்ட்ரீயால்
Q649,,,,,,,莫斯科,,,,,,,,,,,,
Q1156,,,,Mumbai,,,,मुंबई,,,,,,মুম্বাই,,,,,
Q1726,Myunhen,,,,,,,,మ్యూనిక్,મ્યૂનિખ,,,,,,,,,ம்யூனிக்
Q3826,,,,Muskat,,,馬斯喀特,,,મસ્કટ,,Маскат,,মাস্কট,ಮಸ್ಕಟ್,,,,மஸ்கட்
Q3659,,,,,,Нжамена,恩將納,एन जेमीना,ఎన్ జమీనా,એન્ડજામેના,,,,ন'জামিনা,ಎ‍ನ್‌ಝಮೀನಾ,,,,என்ஜமேனா
Q3870,,,,,,,奈洛比,,,નૈરોબી,,,,,ನೈರೋಬಿ ,,,,
Q16666,,Nanjing,Nanjing,Nanxhing,Нанкин,,,,నాన్జింగ్,નાનજિંગ,ნანცინი,,,নানজিং,ನಾನ್‌ಜಿಂಗ್,,,,
Q179608,,Nanning,Nanning,Naning,Нанинг,,,नाननिंग,నానింగ్,નાનનિંગ,ნანნინი,,,নানিং,ನಾನ್ನಿಂಗ್,Nanning,Nanning,Nanninq,நேன்னிங்
Q2634,,,Napolí,,,Неаполь,拿坡里,नेपल्स,నేపుల్స్,નેપલ્સ,,,,,ನೇಪಲ್ಸ್,,,,நேபல்ஸ்
Q67040,Naters,Naters,Naters,,Натерс,Нэйтерс,納特,नेटर्स,నేటర్స్,નેટર્સ,ნატერსი,Натерс,Naters,নেটার্স,ನೇಟರ್ಸ್,Naters,Naters,Naters,நேடர்ஸ்
Q987,Nyu Deli,,,Nju Delhi,,,,नयी दिल्ली,న్యూ ఢిల్లీ,ન્યૂ દિલ્હી,,Нью-Дели,,নয়াদিল্লী,,,,,நியூ டெல்லி
Q60,,,,Qyteti i Nju Jorkut,,,,न्यूयॉर्क शहर,,ન્યૂ યોર્ક સિટી,,,,,ನ್ಯೂಯಾರ್ಕ್ ನಗರ ,,,,நியூயார்க் ஸிடி
Q48335,,,,Njufaundlend,Нюфаундленд,Ньюфаундланд,紐芬蘭與拉布拉多,न्यूफाउंडलैंड,న్యూ ఫౌండ్లాండ్,ન્યૂફાઉન્ડલેન્ડ,,,,নিউফাউন্ডল্যান্ড,ನ್ಯೂಫೌಂಡ್ ಲ್ಯಾಂಡ್,,,Nyufaundlend,நியூஃபன்லேன்ட்
Q3674,,,,Niamej,,Ниамей,尼阿美,नियामी,నయామీ,નિઆમી,,,,নিয়ামেই,ನಿಯಾಮೆ,,,,நையமே
Q3688,,,,Nuakçot,,Нуакшот,諾克少,नुआकशॉट,నౌవాషోట్,નયૂવાક્ચોટ,,,,নউকচোট,ನೌಕ್ಚೋಟ್,,,,நுவாக்ஷாட்
Q9733,Numea,,Nouméa,Numea,Нумеа,Нумеа,努美阿,नुमेया,నొమేయా,નૌમિયા,,Нумеа,Numea,নওমিয়া,ನೌಮಿಯಾ,,Noumea,,நூமேயா
Q93910,,Novokuznetsk,Novokúznetsk,Novokuzneck,,,新庫茲涅茨克,नोवोकुज़नेत्स्क,నోవోకుజ్నెస్క్,નોવોકજ઼્નેત્સ્ક,ნოვოკუზნეცკი,Новокузнецк,,নোভোকুজনেটস্ক,ನವಕುಝ್ನೆಸ್ಕ್,,Novokuznetsk,Novokuznetsk,நோவோகுஃஜ்நெஸ்க்
Q883,,,Novosíbírsk,Novosibirsk,,,新西伯利亞,नोवोसीबर्स्क,నోవోసిబిస్క్,નોવોસિબિર્સ્ક,,,,নোভোসিবিরস্ক,ನೋವೋಸಿಬ್ರಿಸ್ಕ್,,,,நோவஸிபர்ஸ்க்
Q38834,Nukualofa,,Nuku'alofa,Nukualofa,Нукуалофа,Нукуалофа,努瓜婁發,,నుకువాలోఫా,નુકુઅલોફા,,Нукуалофа,,নুকুয়ালোফা,ನುಕುಅಲೋಫಾ,,Nuku'alofa,,நுகுஅலோஃபா
Q226,Nuuk,,,,Нуук,,努克,नुक,న్యూక్,નૂક,,Нуук,,নুউক,ನುಕ್,,,,
Q898,,,Omsk,,Омск,,鄂木斯克,ओम्स्क,ఓమ్స్క్,ઑમ્સ્ક,,,,ওমস্ক,ಒಮಸ್ಕ್,,,,
Q35765,,,,Osaka,,,,,ఒసాకా,ઓસાકા,,,,,,,,,ஒஸாகா
Q585,,,Osló,,,,奧斯陸,,,,,,,ওস্লো,ಓಸ್ಲೋ,,,,ஆஸ்லோ
Q1930,,,,Otaua,Оттава,,,,,ઓટાવા,,,,ওটোয়া,ಒಟ್ಟಾವ,,,,ஒட்டவா
Q3777,,,,Uagadugu,,Угадугу,瓦加杜古,ऊगाडूगू,వాగడూగూ,વાગડૂગૂ,,Уагадугу,,ওগাদুগো,ಔಗಡೌಗೌ,,,,
Q51678,Pago Pago,,,Pago Pago,Паго Паго,Паго-Паго,帕果帕果,पागो पागो,పాగో పాగో,પેગો પેગો,,,,পাগোপাগো,ಪಾಗೋ ಪಾಗೋ,,Pago Pago,Paqo-Paqo,பாகோ பாகோ
Q2656,,,,,,,,,పాలెర్మో,પલેર્મો,,,,পালের্মো,ಪಲೆರ್ಮೋ,,,,
Q3306,Panama shahri,,,Qyteti i Panamasë,Шаҳри Панама,Панама Хот,巴拿馬城,पनामा शहर,పనామా నగరం,પનામા સિટી,,Панама,,,ಪನಾಮ ನಗರ,,Panama,,பனாமா ஸிடி
Q3001,,,,Paramaribo,Парамибо,Парамарибо,巴拉馬利波,,పారామారిబో,પેરામરિબો,,,,,ಪರಮಾರಿಬೋ,,,,பாராமாரீபோ
Q90,,,,,,,,पेरिस,,પેરિસ,,,,,,,,,
Q915,,,Perm,Perm,Перм,,彼爾姆,पर्म,పెర్మ్,પર્મ,,,,পার্ম,ಪರ್ಮ್,,,,
Q3183,,Perth,,Perth,Перт,,伯斯,,,,,,,,ಪರ್ತ್,,Perth,,பர்த்
Q7951,Petropavlovsk-Kamchatskiy,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamtsjatskíj,Petropavlovsk Kamçatska,Петропавловск-Камчатский,Петропавловск-Камчаткий,堪察加彼得巴甫洛夫斯克,पेट्रोपावलोव्स्क कैमचैट्स्की,పెట్రాపావలాస్క్-కమచాస్కీ,પેટ્રોપાવલોવ્સ્ક-કેમચેટ્સ્કી,პეტროპავლოვსკ-კამჩატსკი,Петропавловск-Камчатский,,প্রেট্রোপাভলোভস্ক-কামচাটস্কি,ಪೆಟ್ರೋಪೌಲಾಸ್ಕ ಕಮ್ಚಾಸ್ಕಿ,,,,பெட்ரோபவ்ளோவ்ச்க்-கம்சாட்ஸ்கி
Q1345,,,,,филаделфия,,費城,,,ફિલાડેલ્ફિયા,,,,,,,,,ஃபிலடெல்ஃபியா
Q1850,,,,Fnom Pen,,,金邊,नॉम पेन्ह,,પનામ પેન્હ,,,,নম পেন,ಪನೋಮ್ ಪೆನ್ ,,,,நோம் பென்
Q16556,Feniks,,,Feniks,Финикс,,鳳凰城,फीनिक्स,ఫీనిక్స్ నగరం,ફીનિક્સ,,,,,ಫೀನಿಕ್ಸ್,,,,ஃபீநிக்ஸ்
Q23564,,,,,,Подгорица,,पॉडगॉरिका,,પોડ્જોરિકા,,,,পোডগোরিকা,ಪಾಡ್ಗೊರಿಕಾ,,,,பாட்கோரிஸா
Q208149,Ponta Delgada,Ponta Delgada,Ponta Delgada,Ponta Delgada,Понта Делгада,Понта-Делгада,蓬塔德爾加達,पोंटा डेलगाडा,పోంటా డెల్గాడా,પોન્ટા ડેલગાડા,,Понта-Делгада,,পন্টাডেলগাদা,ಪೊಂಟ ಡೆಲ್ಗಾಡಾ,Ponta Delgada,Ponta Delgada,Ponta-Delqada,பான்ட டெல்காடா
Q3929,,,,Port Luis,,Порт-Луйс,路易港,पोर्ट लुइ,పోర్ట్ లూయీ,પોર્ટ લુઇસ,,,,,ಪೋರ್ಟ್ ಲೂಯಿಸ್ ,,,,போர்ட்  லூயிஸ்
Q36526,Port Morsbi,,,Port Moresbi,Порт Морсби,Порт-Морсби,莫士比港,पोर्ट मोरेस्बी,పోర్ట్ మోరెస్బీ,પોર્ટ મોર્સબી,,,,পোর্টমোরেস্বি,ಪೋರ್ಟ್ ಮೊರೆಸ್ಬಿ,,,,போர்ட் மோர்ஸ்பி
Q34261,Port-o-Prens,,,Port-o-Princ,,Порт-о-Принс,太子港,,,પોર્ટ-ઓ-પ્રિન્સ,,Порт-о-Пренс,,পোর্ট-আউ-প্রিন্স,ಪೋರ್ಟ್ ಔ ಪ್ರಿನ್ಸ್,,,,போர்ட்-ஓ-ப்ரின்ஸ்
Q6106,Portlend,,,,Портланд,Портланд,,पोर्टलैंड,పోర్ట్ లాండ్,,,Портленд,,,ಪೋರ್ಟ‌ಲ್ಯಾಂಡ್,,Portland,,
Q1085,,,,,,,布拉格,,ప్రాగ్,પ્રાગ,,,,,,,,,பிராக்
Q18808,,,,,Пхенян,,,,పియాంగ్యాంగ్,ફિયોંગયાંગ,,,,পিয়ংইয়ং,ಪ್ಯೊಂಗ್ಯಾಂಗ್,Pyongyang,,,
Q170322,Sindao,Qingdao,Qingdao,Qingdao,Чиндао,,,,చింగ్దావ్,ચિંગદાઑ,ცინდაო,Циндао,,কুইংডাও,ಕ್ವಿಂಗ್ಡಾವೋ,,Qingdao,,சிங்டௌ
Q2900,Kito,,,,Кито,Кито,基多,क्विटो,కీటో,ક્વિટો,,,,কুইটো,ಕ್ವಿಟೋ,,,,க்வீடோ
Q3551,,,,,,Рабат,拉巴特,रबत,రాబట్,રબાટ,,Рабат,,,ರಬಾಟ್,,,,ரபாட்
Q48344,,,,Resife,,,勒西菲,,రెసీఫీ,રેસીફી,,,,রেসিফ,ರೆಸಿಫೆ,,,,ரிஸிஃபி
Q2123,Rejayna,,,Rexhina,Реҷайна,Режайна,雷吉納,रेजिना,రెజీనా,રિજાયના,რიჯაინა,Реджайна,,রেজিনা,ರೆಜಿನಾ,,Regina,Recayna,ரிஜைனா
Q1764,,,,Rejkjavik,,Рейкьявик,,,,રિકિયવિક,,,,রেইজাভিক,ರೇಕೆವಿಕ್,,Reykjavik,,ரேக்யாவிக்
Q1773,,,,,,,里加,रिगा,,રીગા,,,,,ರಿಗಾ,,,,
Q8678,,,,,,,,रियो डी जेनेरो,,રીયો ડી જાનેરો,,,,রিওডিজেনিরো,,,,Rio-de-Janeiro,ரியோ டி ஜனீரோ
Q3692,,,,,,Рияд,利雅德,रियाध,రియాద్,રિયાદ,,,,,,,,,ரியாட்
Q220,,,,,,,,,,રોમ,,,,,,,,,ரோம்
Q849441,Sent Jon,Sveti Ivan,Sankti Jón / Saint John,Shën Xhon,Сент Ҷон,Сент-Жон,聖約翰,सेंट जॉन,సెయింట్ జాన్,સેંટ જોન,სენტ-ჯონი,Сент-Джон,Sentdžona,সেন্টজন,ಸೇಂಟ್  ಜಾನ್,Saint John,Saint John,Sent-Con,ஸெய்ன்ட் ஜான்
Q656,,,,,,,,सेंट पीटर्सबर्ग,సెయింట్ పీటర్స్బర్గ్,સેન્ટ પીટર્સબર્ગ,,,,,ಸೇಂಟ್ ಪೀಟರ್ಸ್‌ಬರ್ಗ್,,,,ஸெய்ன்ட் பீடர்ஸ்பர்க்
Q34617,,,,Shën Pier dhe Mikelon,Сен-Пиер ва Микелон,Сен-Пьер ба Микелон,聖皮耶與密克隆群島,सेंट पियरे और मिकलॉन,సెయింట్ పియర్ అండ్ మికెలాన్,સેન્ટ પીઅર એન્ડ મિકેલોન,,,,সেন্টপিয়েরেএন্ডমিকুইলন,ಸೇಂಟ್ ಪಿಯರೆ ಮತ್ತು ಮಿಕೆಲನ್,,,Sent-Pyer və Mikelon,ஸெய்ன்ட் பியர் அண்ட் மிகேலோன்
Q47045,Sen-Deni,Saint-Denis,Sankti Denis / Saint Denis,Shën Denis,Сан Дени,Сен-Дени,聖但尼,सेंट डेनिस,సెయింట్-డెనిస్,સેન્ટ-ડેનિસ,,Сен-Дени,,সেন্ট-ডেনিস,ಸೇಂಟ್ ಡೆನಿಸ್,,,,ஸெய்ன்ட்- டெனிஸ்
Q894,,,,Samara,Самара,,薩馬拉,समारा,సమారా,સમારા,,,,সামারা,ಸಮಾರಾ,,,,"ஸமாரா, ரஷ்யா"
Q975,,,,,Сан Антонио,Сан-Антонио,聖安東尼奧,सैन एंटोनियो,సాన్ ఆంటోనియో,સેન એન્ટોનિયો,,,,সানএন্টোনিও,ಸ್ಯಾನ್ ಆಂಟೋನಿಯೋ,,San Antonio,San-Antonio,ஸேன் அன்டோனியோ
Q16552,,,,,,Сан-Диего,,सैन डिएगो,సాన్ డియాగో,સેન ડિયાગો,,,,সানদিয়াগো,ಸ್ಯಾನ್ ಡಿಯಾಗೋ,,,San-Dieqo,ஸேன் டியேகோ
Q62,,,,San Francisko,Сан Франсиско,,,सैन फ्रांसिस्को,సాన్ ఫ్రాన్సిస్కో,સેનફ્રાન્સિસ્કો,,,,সানফ্রান্সিসকো,ಸ್ಯಾನ್ ‍ಫ್ರಾನ್‌ಸಿಸ್ಕೊ,,,,ஸேன் ஃப்ரான்ஸிஸ்கோ
Q16553,San Xose,,,San Hose,Сан Ҳосе,Сан-Хосе,聖荷西,सैन जोस,సాన్ హోస్,સેન હોસે,,,,সানজোসে,ಸ್ಯಾನ್ ಹೋಸೆ,,San Jose,,"ஸேன் ஹோஸே, கலிஃபோர்னியா"
Q3070,San Xose,,,San Hosé,Сан Ҳосе,Сан-Хосе,聖荷西,सैन जोस,సాన్ హోసె,સેન હોસે,,Сан Хосе,,সানজোসে,ಸ್ಯಾನ್ ‍ಹೋಸೆ,,San Jose,,"ஸேன் ஹோஸே, கோஸ்டா ரிகா"
Q41211,San Xuan,,San Júan / San Juan,San Huan,Сан Ҳуан,Сан-Хуан,聖胡安,सैन जुआन,సాన్ హువాన్,સેન જુઆન,,Сан Хуан,,সানজুয়ান,ಸ್ಯಾನ್ ‍ಉವಾನ್,,,San-Xuan,ஸேன் ஹுவான்
Q238,,,,,,,聖馬利諾,सैन मरीनो,సాన్ మారినో,સેન મરીનો,,,,,ಸ್ಯಾನ್ ಮರಿನೋ,,,,ஸேன் மரீனோ
Q3110,,,San Salvador / Biðeyjan,,Сан Салвадор,Сан-Сальвадор,聖薩爾瓦多,सैन सैल्वाडोर,సాన్ సాల్వడార్,સેન સાલ્વાડોર,,Сан-Сальвадор,,সানসালভাদর,ಸ್ಯಾನ್ ಸಾಲ್ವಡೋರ್,,,San-Salvador,ஸேன் ஸல்வடார்
Q2471,,,,,,,沙那,सना,,સાના,,,,,,Sanaa,,,ஸனா ஆ
Q2887,,,,,Сантиаго,,聖地亞哥,सेंटियागो,సాంటియాగో,સેન્ટિયાગો,,Сантьяго,,সান্টিয়াগো,‍ಸಾಂಟಿಯಾಗೊ,,,,ஸன்டியாகோ
Q34820,Santa Domingo,,,Santo Domingo,,Санто-Доминго,聖多明哥,सैंटो डोमिंगो,సాంటో డామింగో,સેન્ટો ડોમિન્ગો,,Санто-Доминго,,সান্টোডোমিনগো,ಸ್ಯಾಂಟೋ ಡೊಮಿಂಗೋ,,,,ஸன்டோ டமிங்கோ
Q174,,,,Sao Paolo,Сан Паулу,,,साओ पाउलो,సావో పాలో,સાઉ પાઉલો,,,,সাওপাউলো,ಸಾವೊ ಪಾಲೊ,,Sao Paulo,San-Paulu,ஸௌ பௌலோ
Q5083,,,,Siatëll,,Сиэтл,,सिएटल,,સિએટલ,,,,সিয়াটেল,,,,,ஸீயாடல்
Q8684,,,,Seul,,,,,సియోల్,સિઓલ,,,,সিউল,ಸಿಯೋಲ್,Soul,,,ஸோல்
Q193652,Severo-Kurilsk,Severo-Kurilsk,Severo-Kúrílsk,Severo-Kurilsk,,Северо-Курильск,大洋城,सेवेरो-कुरिल्स्क,సెవెరో-కురిస్క్,સેવેરો-કુરીલ્સ્ક,სევერო-კურილსკი,Северо-Курильск,Severokuriļska,সেভেরো-কুরিলস্ক,ಸೆವೆರ ಕುರಿಲ್ಸ್ಕ್,,Severo-Kurilsk,,ஸெவரோ-குறிஸ்க்
Q8686,,,,,,,,,,શંઘાઈ,,,,,ಶಾಂಘೈ ,,,,ஷான்காய்
Q11720,,Shenyang,Shenyang,Sheniang,Шэнян,,,,షెన్‌యాంగ్,શેનયાંગ,შენიანი,Шэньян,,সেনইয়াং,ಶೆನ್ಯಾಂಗ್ ,,Shenyang,Şenyanq,ஷன்யாங்
Q15174,Shenchjen,Shenzhen,,Shenzhen,Шэнжэн,,,,,શેનઝેન,შენცენი,,,সেনজেন,ಶೆನ್‌ಝೆನ್‌,,Shenzhen,Şençjen,ஷென்ஃஜென்
Q334,,,,,,,,,సింగపూర్,,,,,,,,,,ஸிங்கபூர்
Q384,,,,,,Скопье,史高比耶,स्कोपिये,స్కాపియో,સ્કોપ્જે,,,,স্কোপজে,ಸ್ಕೋ‍ಪಿಯಾ,,,,ஸ்காப்ய
Q472,,,,,,,索菲亞,,,સોફિયા,,,,সোফিয়া,ಸೋಫಿಯಾ,,,,ஸோஃபையா
Q196464,Srednekolimsk,Srednekolymsk,Srednekolymsk,Srednekolimsk,,Среднеколымск,中科雷姆斯克,स्रेडनेकोलिम्स्क,స్రీద్నీకోలింస్క్,સ્રેડનેકોલીમ્સ્ક,სრედნეკოლიმსკი,Среднеколымск,Sredņekolimska,স্রেডনেকোলিমস্ক,ಸೆರೆದ್ನೆಕೊಲಿಮ್ಸ್ಕ್,Srednekolymsk,Srednekolymsk,Srednekolımsk,ஸ்ரெட்னிகோலிம்ஸ்க்
Q2082,Sent-Jons,,,Shën Xhons,Сент Ҷонс,Сент-Жонс,聖約翰斯,सेंट जॉन्स,సెయింట్ జాాన్స్,સેંટ જહોન્સ,,Сент-Джонс,,সেন্টজোন্স,ಸೇಂಟ್ ‍ಜಾನ್ಸ್,,St. John's,Sent-Cons,"ஸெய்ன்ட் ஜான்ஸ், நியூஃபன்லன்ட"
Q1754,,,,,,,,,,સ્ટોકહોમ,,,,,,,,,
Q38807,,,,,Сува,Сува,蘇瓦,,సూవా,સુવા,,Сува,,,ಸುವಾ,,Suva,,ஸுவா
Q3130,,,,Sidnej,Сидней,,雪梨,,,સિડની,,,,,,,,,ஸிட்னி
Q42000,,Tahiti,,,Таити,Тахити,,ताहिती,,તહિતી,,Таити,,,,,,,டஹீடீ
Q1867,,,,Taipei,,,,,తాయిపెయ్,તાયપેઈ,,,Taipeja,,,,,,டைபே
Q1770,,,,,,,塔林,तालिन,,ટાલીન,,,,তালিন,ಟ್ಯಾಲಿನ್,,,,டால்லின்
